input,output,model,configuration,machine,tokens_per_second
10,10,T5 large,ds-1gpu,GCP (T4),53.7
10,10,T5 large,ds-2gpu,GCP (T4),17.5
10,250,T5 large,ds-1gpu,GCP (T4),74.5
10,250,T5 large,ds-2gpu,GCP (T4),24.6
10,500,T5 large,ds-1gpu,GCP (T4),76.0
10,500,T5 large,ds-2gpu,GCP (T4),24.8
50,10,T5 large,ds-1gpu,GCP (T4),66.5
50,10,T5 large,ds-2gpu,GCP (T4),20.9
50,250,T5 large,ds-1gpu,GCP (T4),82.6
50,250,T5 large,ds-2gpu,GCP (T4),26.3
50,500,T5 large,ds-1gpu,GCP (T4),84.1
50,500,T5 large,ds-2gpu,GCP (T4),26.0
100,10,T5 large,ds-1gpu,GCP (T4),64.2
100,10,T5 large,ds-2gpu,GCP (T4),22.1
100,250,T5 large,ds-1gpu,GCP (T4),66.6
100,250,T5 large,ds-2gpu,GCP (T4),22.1
100,500,T5 large,ds-1gpu,GCP (T4),66.1
100,500,T5 large,ds-2gpu,GCP (T4),21.9
